Product Name,Price,Description,Reviews
"OnePlus Nord 6 (Quick Silver, 256 GB)","₹50,000","12 GB RAM | 256 GB ROM | Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera9000 mAh Battery4 octa-core processor Processorone-year limited warranty starting from the date of delivery, covering manufacturing defects in materials and workmanship",4.4
"Nothing Phone (4a) (Black, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.3
"OPPO Reno14 5G (Forest Green, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
"OnePlus 13s 5G (Black Velvet, 512 GB)","₹55,990",12 GB RAM | 512 GB ROM16.05 cm (6.32 inch) Display50MP Rear Camera5850 mAh Battery1 Year Warranty,4.5
"MOTOROLA edge 70 pro (Tailored Fabric - PANTONE Titan (Blue), 256 GB)","₹42,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,3.9
"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh BLPE45 lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.6
"vivo V70 FE (Monsoon Blue, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display200MP + 8MP | 50MP Front Camera7000 mAh Li-ion BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
"Samsung Galaxy A36 5G (Awesome Black, 256 GB)","₹32,890",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Nothing Phone (4a) Pro (Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturing Warranty,4.5
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)","₹50,000",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery12 months,4.5
"vivo V70 (Lemon Yellow, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inches) Full HD+ AMOLED Display50MP + 50MP + 8MP | Yes6500 mAh Li-ion battery BatterySnapdragon 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
"Samsung Galaxy A37 5G (Awesome Graygreen, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Samsung Galaxy S24 Exynos 5G (Amber Yellow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
"Google Pixel 10 (Obsidian, 256 GB)","₹74,999",12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Quad HD+ Display48MP + 13MP + 10.8MP | 10.5MP Front Camera4970 mAh BatteryTensor G5 Processor1 Year Domestic Warranty,4.3
"Samsung Galaxy S24 Exynos 5G (Marble Gray, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Samsung Galaxy A37 5G (Awesome Graygreen, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹38,100",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.3
"Samsung Galaxy A37 5G (Awesome Lavender, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
